command,description,os,generated_command,pos_tags
dsget,view items in active directory user group computer,linux,,"[('view', 'VERB'), ('items', 'NOUN'), ('in', 'ADP'), ('active', 'ADJ'), ('directory', 'NOUN'), ('user', 'NOUN'), ('group', 'PROPN'), ('computer', 'NOUN')]"
dsquery,search active directory user group computer,linux,,"[('search', 'VERB'), ('active', 'ADJ'), ('directory', 'NOUN'), ('user', 'NOUN'), ('group', 'PROPN'), ('computer', 'NOUN')]"
dsmod,modify items in active directory user group computer,linux,,"[('modify', 'VERB'), ('items', 'NOUN'), ('in', 'ADP'), ('active', 'ADJ'), ('directory', 'NOUN'), ('user', 'NOUN'), ('group', 'PROPN'), ('computer', 'NOUN')]"
dsmove,move an active directory object,linux,,"[('move', 'VERB'), ('an', 'DET'), ('active', 'ADJ'), ('directory', 'NOUN'), ('object', 'NOUN')]"
dsrm,remove items from active directory,linux,,"[('remove', 'VERB'), ('items', 'NOUN'), ('from', 'ADP'), ('active', 'ADJ'), ('directory', 'NOUN')]"
dsregcmd,directory service registration,linux,,"[('directory', 'NOUN'), ('service', 'NOUN'), ('registration', 'NOUN')]"
du,display directory sizesusage,linux,,"[('display', 'VERB'), ('directory', 'NOUN'), ('sizesusage', 'NOUN')]"
echo,display message on screen ,linux,,"[('display', 'VERB'), ('message', 'NOUN'), ('on', 'ADP'), ('screen', 'NOUN')]"
endlocal,end localisation of the environment in a batch file ,linux,,"[('end', 'NOUN'), ('localisation', 'NOUN'), ('of', 'ADP'), ('the', 'DET'), ('environment', 'NOUN'), ('in', 'ADP'), ('a', 'DET'), ('batch', 'NOUN'), ('file', 'NOUN')]"
erase,delete one or more files ,linux,,"[('delete', 'VERB'), ('one', 'NUM'), ('or', 'CCONJ'), ('more', 'ADJ'), ('files', 'NOUN')]"
eventcreate,add a message to the windows event log,linux,,"[('add', 'VERB'), ('a', 'DET'), ('message', 'NOUN'), ('to', 'ADP'), ('the', 'DET'), ('windows', 'NOUN'), ('event', 'NOUN'), ('log', 'NOUN')]"
exit,quit the current scriptroutine and set an errorlevel ,linux,,"[('quit', 'VERB'), ('the', 'DET'), ('current', 'ADJ'), ('scriptroutine', 'NOUN'), ('and', 'CCONJ'), ('set', 'VERB'), ('an', 'DET'), ('errorlevel', 'NOUN')]"
expand,uncompress cab files,linux,,"[('uncompress', 'ADJ'), ('cab', 'NOUN'), ('files', 'NOUN')]"
explorer,open windows explorer,linux,,"[('open', 'ADJ'), ('windows', 'NOUN'), ('explorer', 'NOUN')]"
extract,uncompress cab files,linux,,"[('uncompress', 'ADJ'), ('cab', 'NOUN'), ('files', 'NOUN')]"
fc,compare two files,linux,,"[('compare', 'VERB'), ('two', 'NUM'), ('files', 'NOUN')]"
find,search for a text string in a file,linux,,"[('search', 'VERB'), ('for', 'ADP'), ('a', 'DET'), ('text', 'NOUN'), ('string', 'NOUN'), ('in', 'ADP'), ('a', 'DET'), ('file', 'NOUN')]"
findstr,search for strings in files,linux,,"[('search', 'VERB'), ('for', 'ADP'), ('strings', 'NOUN'), ('in', 'ADP'), ('files', 'NOUN')]"
fltmc,manage minifilter drivers,linux,,"[('manage', 'VERB'), ('minifilter', 'NOUN'), ('drivers', 'NOUN')]"
fondue,features on demand user experience tool,linux,,"[('features', 'NOUN'), ('on', 'ADP'), ('demand', 'NOUN'), ('user', 'NOUN'), ('experience', 'NOUN'), ('tool', 'NOUN')]"
for f,loop command against a set of files ,linux,,"[('loop', 'PROPN'), ('command', 'NOUN'), ('against', 'ADP'), ('a', 'DET'), ('set', 'NOUN'), ('of', 'ADP'), ('files', 'NOUN')]"
for,loop command all options files directory list ,linux,,"[('loop', 'PROPN'), ('command', 'NOUN'), ('all', 'DET'), ('options', 'NOUN'), ('files', 'NOUN'), ('directory', 'NOUN'), ('list', 'NOUN')]"
forfiles,batch process multiple files,linux,,"[('batch', 'NOUN'), ('process', 'NOUN'), ('multiple', 'ADJ'), ('files', 'NOUN')]"
format,format a disk,linux,,"[('format', 'NOUN'), ('a', 'DET'), ('disk', 'NOUN')]"
freedisk,check free disk space,linux,,"[('check', 'VERB'), ('free', 'ADJ'), ('disk', 'NOUN'), ('space', 'NOUN')]"
fsutil,file and volume utilities,linux,,"[('file', 'NOUN'), ('and', 'CCONJ'), ('volume', 'NOUN'), ('utilities', 'NOUN')]"
ftp,file transfer protocol,linux,,"[('file', 'NOUN'), ('transfer', 'NOUN'), ('protocol', 'NOUN')]"
ftype,file extension file type associations ,linux,,"[('file', 'NOUN'), ('extension', 'NOUN'), ('file', 'NOUN'), ('type', 'NOUN'), ('associations', 'NOUN')]"
getmac,display the media access control mac address,linux,,"[('display', 'VERB'), ('the', 'DET'), ('media', 'NOUN'), ('access', 'NOUN'), ('control', 'PROPN'), ('mac', 'PROPN'), ('address', 'PROPN')]"
goto,direct a batch program to jump to a labelled line ,linux,,"[('direct', 'VERB'), ('a', 'DET'), ('batch', 'NOUN'), ('program', 'NOUN'), ('to', 'PART'), ('jump', 'VERB'), ('to', 'ADP'), ('a', 'DET'), ('labelled', 'VERB'), ('line', 'NOUN')]"
gpresult,display resultant set of policy information,linux,,"[('display', 'VERB'), ('resultant', 'NOUN'), ('set', 'NOUN'), ('of', 'ADP'), ('policy', 'NOUN'), ('information', 'NOUN')]"
gpupdate,update group policy settings,linux,,"[('update', 'PROPN'), ('group', 'NOUN'), ('policy', 'NOUN'), ('settings', 'NOUN')]"
help,online help,linux,,"[('online', 'ADJ'), ('help', 'NOUN')]"
hostname,display the host name of the computer,linux,,"[('display', 'VERB'), ('the', 'DET'), ('host', 'NOUN'), ('name', 'NOUN'), ('of', 'ADP'), ('the', 'DET'), ('computer', 'NOUN')]"
icacls,change file and folder permissions,linux,,"[('change', 'VERB'), ('file', 'NOUN'), ('and', 'CCONJ'), ('folder', 'NOUN'), ('permissions', 'NOUN')]"
iexpress,create a self extracting zip file archive,linux,,"[('create', 'VERB'), ('a', 'DET'), ('self', 'NOUN'), ('extracting', 'VERB'), ('zip', 'NOUN'), ('file', 'NOUN'), ('archive', 'NOUN')]"
if,conditionally perform a command ,linux,,"[('conditionally', 'ADV'), ('perform', 'VERB'), ('a', 'DET'), ('command', 'NOUN')]"
ifmember,is the current user a member of a group,linux,,"[('is', 'AUX'), ('the', 'DET'), ('current', 'ADJ'), ('user', 'NOUN'), ('a', 'DET'), ('member', 'NOUN'), ('of', 'ADP'), ('a', 'DET'), ('group', 'NOUN')]"
ipconfig,configure ip,linux,,"[('configure', 'PROPN'), ('ip', 'VERB')]"
inuse,replace files that are in use by the os,linux,,"[('replace', 'VERB'), ('files', 'NOUN'), ('that', 'PRON'), ('are', 'AUX'), ('in', 'ADP'), ('use', 'NOUN'), ('by', 'ADP'), ('the', 'DET'), ('os', 'NOUN')]"
klist,list cached kerberos tickets,linux,,"[('list', 'NOUN'), ('cached', 'VERB'), ('kerberos', 'ADP'), ('tickets', 'NOUN')]"
label,edit a disk label,linux,,"[('edit', 'VERB'), ('a', 'DET'), ('disk', 'NOUN'), ('label', 'NOUN')]"
lgpo,local group policy object utility,linux,,"[('local', 'ADJ'), ('group', 'NOUN'), ('policy', 'NOUN'), ('object', 'NOUN'), ('utility', 'NOUN')]"
lodctr,load perfmon performance counters,linux,,"[('load', 'VERB'), ('perfmon', 'ADJ'), ('performance', 'NOUN'), ('counters', 'NOUN')]"
logman,manage performance monitor logs,linux,,"[('manage', 'VERB'), ('performance', 'NOUN'), ('monitor', 'NOUN'), ('logs', 'NOUN')]"
logoff,log a user off,linux,,"[('log', 'VERB'), ('a', 'DET'), ('user', 'NOUN'), ('off', 'ADP')]"
logtime,log the date and time in a file,linux,,"[('log', 'VERB'), ('the', 'DET'), ('date', 'NOUN'), ('and', 'CCONJ'), ('time', 'NOUN'), ('in', 'ADP'), ('a', 'DET'), ('file', 'NOUN')]"
makecab,create cab files,linux,,"[('create', 'VERB'), ('cab', 'NOUN'), ('files', 'NOUN')]"
mapisend,send email from the command line,linux,,"[('send', 'VERB'), ('email', 'NOUN'), ('from', 'ADP'), ('the', 'DET'), ('command', 'NOUN'), ('line', 'NOUN')]"
managebde,bitlocker drive encryption,linux,,"[('bitlocker', 'PROPN'), ('drive', 'NOUN'), ('encryption', 'NOUN')]"
mbr2gpt,convert a disk partition from master boot record to a gpt,linux,,"[('convert', 'VERB'), ('a', 'DET'), ('disk', 'NOUN'), ('partition', 'NOUN'), ('from', 'ADP'), ('master', 'NOUN'), ('boot', 'PROPN'), ('record', 'NOUN'), ('to', 'ADP'), ('a', 'DET'), ('gpt', 'NOUN')]"
md,create a new directory ,linux,,"[('create', 'VERB'), ('a', 'DET'), ('new', 'ADJ'), ('directory', 'NOUN')]"
mklink,create a symbolic link linkd ,linux,,"[('create', 'VERB'), ('a', 'DET'), ('symbolic', 'ADJ'), ('link', 'NOUN'), ('linkd', 'VERB')]"
mode,configure a system device comlptcon,linux,,"[('configure', 'VERB'), ('a', 'DET'), ('system', 'NOUN'), ('device', 'NOUN'), ('comlptcon', 'NOUN')]"
more,display output one screen at a time,linux,,"[('display', 'VERB'), ('output', 'NOUN'), ('one', 'NUM'), ('screen', 'NOUN'), ('at', 'ADP'), ('a', 'DET'), ('time', 'NOUN')]"
mountvol,manage a volume mount point,linux,,"[('manage', 'VERB'), ('a', 'DET'), ('volume', 'NOUN'), ('mount', 'PROPN'), ('point', 'NOUN')]"
move,move files from one folder to another ,linux,,"[('move', 'VERB'), ('files', 'NOUN'), ('from', 'ADP'), ('one', 'NUM'), ('folder', 'NOUN'), ('to', 'ADP'), ('another', 'PRON')]"
moveuser,move a user from one domain to another,linux,,"[('move', 'VERB'), ('a', 'DET'), ('user', 'NOUN'), ('from', 'ADP'), ('one', 'NUM'), ('domain', 'NOUN'), ('to', 'ADP'), ('another', 'PRON')]"
msg,send a message,linux,,"[('send', 'VERB'), ('a', 'DET'), ('message', 'NOUN')]"
msiexec,microsoft windows installer,linux,,"[('microsoft', 'PROPN'), ('windows', 'PROPN'), ('installer', 'NOUN')]"
msinfo32,system information,linux,,"[('system', 'NOUN'), ('information', 'NOUN')]"
mstsc,terminal server connectionremote desktop protocolrdp,linux,,"[('terminal', 'ADJ'), ('server', 'NOUN'), ('connectionremote', 'NOUN'), ('desktop', 'NOUN'), ('protocolrdp', 'NOUN')]"
net,manage network resources,linux,,"[('manage', 'VERB'), ('network', 'NOUN'), ('resources', 'NOUN')]"
netdom,domain manager,linux,,"[('domain', 'NOUN'), ('manager', 'NOUN')]"
netsh,configure network interfaces firewall  remote access,linux,,"[('configure', 'NOUN'), ('network', 'NOUN'), ('interfaces', 'VERB'), ('firewall', 'NOUN'), (' ', 'SPACE'), ('remote', 'ADJ'), ('access', 'NOUN')]"
nbtstat,display networking statistics netbios over tcpip,linux,,"[('display', 'VERB'), ('networking', 'VERB'), ('statistics', 'NOUN'), ('netbios', 'NOUN'), ('over', 'ADP'), ('tcpip', 'NOUN')]"
netstat,display networking statistics tcpip,linux,,"[('display', 'VERB'), ('networking', 'VERB'), ('statistics', 'NOUN'), ('tcpip', 'NOUN')]"
nlsinfo,display locale information reskit,linux,,"[('display', 'VERB'), ('locale', 'ADJ'), ('information', 'NOUN'), ('reskit', 'NOUN')]"
nltest,network location test ad,linux,,"[('network', 'NOUN'), ('location', 'NOUN'), ('test', 'NOUN'), ('ad', 'NOUN')]"
nmbind,manage hyperv network bindings,linux,,"[('manage', 'VERB'), ('hyperv', 'NOUN'), ('network', 'NOUN'), ('bindings', 'NOUN')]"
now,display the current date and time,linux,,"[('display', 'VERB'), ('the', 'DET'), ('current', 'ADJ'), ('date', 'NOUN'), ('and', 'CCONJ'), ('time', 'NOUN')]"
nslookup,name server lookup,linux,,"[('name', 'NOUN'), ('server', 'NOUN'), ('lookup', 'NOUN')]"
ntbackup,windows backup folders to tape,linux,,"[('windows', 'PROPN'), ('backup', 'VERB'), ('folders', 'NOUN'), ('to', 'PART'), ('tape', 'VERB')]"
ntdsutil,active directory domain services management,linux,,"[('active', 'ADJ'), ('directory', 'NOUN'), ('domain', 'NOUN'), ('services', 'NOUN'), ('management', 'NOUN')]"
ntrights,edit user account rights,linux,,"[('edit', 'PROPN'), ('user', 'NOUN'), ('account', 'NOUN'), ('rights', 'NOUN')]"
nvspbind,modify network bindings,linux,,"[('modify', 'VERB'), ('network', 'NOUN'), ('bindings', 'NOUN')]"
openfiles,query or display open files,linux,,"[('query', 'NOUN'), ('or', 'CCONJ'), ('display', 'VERB'), ('open', 'ADJ'), ('files', 'NOUN')]"
path,display or set a search path for executable files ,linux,,"[('display', 'VERB'), ('or', 'CCONJ'), ('set', 'VERB'), ('a', 'DET'), ('search', 'NOUN'), ('path', 'NOUN'), ('for', 'ADP'), ('executable', 'ADJ'), ('files', 'NOUN')]"
pathping,trace route plus network latency and packet loss,linux,,"[('trace', 'PROPN'), ('route', 'NOUN'), ('plus', 'CCONJ'), ('network', 'NOUN'), ('latency', 'NOUN'), ('and', 'CCONJ'), ('packet', 'NOUN'), ('loss', 'NOUN')]"
pause,suspend processing of a batch file ,linux,,"[('suspend', 'VERB'), ('processing', 'NOUN'), ('of', 'ADP'), ('a', 'DET'), ('batch', 'NOUN'), ('file', 'NOUN')]"
perms,show permissions for a user,linux,,"[('show', 'VERB'), ('permissions', 'NOUN'), ('for', 'ADP'), ('a', 'DET'), ('user', 'NOUN')]"
ping,test a network connection,linux,,"[('test', 'VERB'), ('a', 'DET'), ('network', 'NOUN'), ('connection', 'NOUN')]"
pktmon,monitor internal packet propagation and packet drop reports,linux,,"[('monitor', 'VERB'), ('internal', 'ADJ'), ('packet', 'NOUN'), ('propagation', 'NOUN'), ('and', 'CCONJ'), ('packet', 'ADJ'), ('drop', 'NOUN'), ('reports', 'NOUN')]"
pnputil,plug and play utility,linux,,"[('plug', 'VERB'), ('and', 'CCONJ'), ('play', 'VERB'), ('utility', 'NOUN')]"
popd,return to a previous directory saved by pushd ,linux,,"[('return', 'VERB'), ('to', 'ADP'), ('a', 'DET'), ('previous', 'ADJ'), ('directory', 'NOUN'), ('saved', 'VERB'), ('by', 'ADP'), ('pushd', 'NOUN')]"
portqry,display the status of ports and services,linux,,"[('display', 'VERB'), ('the', 'DET'), ('status', 'NOUN'), ('of', 'ADP'), ('ports', 'NOUN'), ('and', 'CCONJ'), ('services', 'NOUN')]"
powercfg,configure power settings,linux,,"[('configure', 'NOUN'), ('power', 'NOUN'), ('settings', 'NOUN')]"
print,print a text file,linux,,"[('print', 'VERB'), ('a', 'DET'), ('text', 'NOUN'), ('file', 'NOUN')]"
printbrm,print queue backuprecovery,linux,,"[('print', 'NOUN'), ('queue', 'NOUN'), ('backuprecovery', 'NOUN')]"
prncnfg,configure a printer,linux,,"[('configure', 'VERB'), ('a', 'DET'), ('printer', 'NOUN')]"
prndrvr,add delete or list print drivers,linux,,"[('add', 'VERB'), ('delete', 'ADJ'), ('or', 'CCONJ'), ('list', 'NOUN'), ('print', 'NOUN'), ('drivers', 'NOUN')]"
prnjobs,pause resume cancel or list print jobs,linux,,"[('pause', 'PROPN'), ('resume', 'VERB'), ('cancel', 'NOUN'), ('or', 'CCONJ'), ('list', 'VERB'), ('print', 'NOUN'), ('jobs', 'NOUN')]"
prnmngr,add delete or list printer connections,linux,,"[('add', 'VERB'), ('delete', 'ADJ'), ('or', 'CCONJ'), ('list', 'NOUN'), ('printer', 'NOUN'), ('connections', 'NOUN')]"
prnport,manage printer ports change port configuration,linux,,"[('manage', 'VERB'), ('printer', 'NOUN'), ('ports', 'NOUN'), ('change', 'VERB'), ('port', 'NOUN'), ('configuration', 'NOUN')]"
prnqctl,manage print queues print a test page,linux,,"[('manage', 'VERB'), ('print', 'NOUN'), ('queues', 'NOUN'), ('print', 'VERB'), ('a', 'DET'), ('test', 'NOUN'), ('page', 'NOUN')]"
procdump,monitor an application for cpu spikes,linux,,"[('monitor', 'VERB'), ('an', 'DET'), ('application', 'NOUN'), ('for', 'ADP'), ('cpu', 'NOUN'), ('spikes', 'NOUN')]"
prompt,change the command prompt ,linux,,"[('change', 'VERB'), ('the', 'DET'), ('command', 'NOUN'), ('prompt', 'NOUN')]"
psexec,execute process remotely,linux,,"[('execute', 'VERB'), ('process', 'NOUN'), ('remotely', 'ADV')]"
psfile,show files opened remotely,linux,,"[('show', 'NOUN'), ('files', 'NOUN'), ('opened', 'VERB'), ('remotely', 'ADV')]"
psgetsid,display the sid of a computer or a user,linux,,"[('display', 'VERB'), ('the', 'DET'), ('sid', 'NOUN'), ('of', 'ADP'), ('a', 'DET'), ('computer', 'NOUN'), ('or', 'CCONJ'), ('a', 'DET'), ('user', 'NOUN')]"
psinfo,list information about a system,linux,,"[('list', 'NOUN'), ('information', 'NOUN'), ('about', 'ADP'), ('a', 'DET'), ('system', 'NOUN')]"
pskill,kill processes by name or process id,linux,,"[('kill', 'VERB'), ('processes', 'NOUN'), ('by', 'ADP'), ('name', 'NOUN'), ('or', 'CCONJ'), ('process', 'NOUN'), ('i', 'NOUN'), ('d', 'NOUN')]"
pslist,list detailed information about processes,linux,,"[('list', 'VERB'), ('detailed', 'ADJ'), ('information', 'NOUN'), ('about', 'ADP'), ('processes', 'NOUN')]"
psloggedon,whos logged on locally or via resource sharing,linux,,"[('who', 'PRON'), ('s', 'AUX'), ('logged', 'VERB'), ('on', 'ADP'), ('locally', 'ADV'), ('or', 'CCONJ'), ('via', 'ADP'), ('resource', 'NOUN'), ('sharing', 'NOUN')]"
psloglist,event log records,linux,,"[('event', 'NOUN'), ('log', 'NOUN'), ('records', 'NOUN')]"
pspasswd,change account password,linux,,"[('change', 'VERB'), ('account', 'NOUN'), ('password', 'NOUN')]"
psping,measure network performance,linux,,"[('measure', 'NOUN'), ('network', 'NOUN'), ('performance', 'NOUN')]"
psservice,view and control services,linux,,"[('view', 'NOUN'), ('and', 'CCONJ'), ('control', 'NOUN'), ('services', 'NOUN')]"
psshutdown,shutdown or reboot a computer,linux,,"[('shutdown', 'NOUN'), ('or', 'CCONJ'), ('reboot', 'ADP'), ('a', 'DET'), ('computer', 'NOUN')]"
pssuspend,suspend processes,linux,,"[('suspend', 'VERB'), ('processes', 'NOUN')]"
pushd,save and then change the current directory ,linux,,"[('save', 'VERB'), ('and', 'CCONJ'), ('then', 'ADV'), ('change', 'VERB'), ('the', 'DET'), ('current', 'ADJ'), ('directory', 'NOUN')]"
qprocess,query process display processes,linux,,"[('query', 'NOUN'), ('process', 'NOUN'), ('display', 'NOUN'), ('processes', 'VERB')]"
qwinsta,query session display all sessions tsremote desktop,linux,,"[('query', 'NOUN'), ('session', 'NOUN'), ('display', 'VERB'), ('all', 'DET'), ('sessions', 'NOUN'), ('tsremote', 'NOUN'), ('desktop', 'NOUN')]"
qappsrv,query termserver list all servers tsremote desktop,linux,,"[('query', 'NOUN'), ('termserver', 'NOUN'), ('list', 'NOUN'), ('all', 'DET'), ('servers', 'NOUN'), ('tsremote', 'VERB'), ('desktop', 'NOUN')]"
quser,query user display user sessions tsremote desktop,linux,,"[('query', 'PROPN'), ('user', 'NOUN'), ('display', 'NOUN'), ('user', 'NOUN'), ('sessions', 'PROPN'), ('tsremote', 'PROPN'), ('desktop', 'NOUN')]"
rasdial,manage ras connections,linux,,"[('manage', 'VERB'), ('ras', 'NOUN'), ('connections', 'NOUN')]"
rasphone,manage ras connections,linux,,"[('manage', 'VERB'), ('ras', 'NOUN'), ('connections', 'NOUN')]"
rd,delete a directory ,linux,,"[('delete', 'VERB'), ('a', 'DET'), ('directory', 'NOUN')]"
recover,recover a damaged file from a defective disk,linux,,"[('recover', 'VERB'), ('a', 'DET'), ('damaged', 'VERB'), ('file', 'NOUN'), ('from', 'ADP'), ('a', 'DET'), ('defective', 'ADJ'), ('disk', 'NOUN')]"
reg,registry read set export delete keys and values,linux,,"[('registry', 'NOUN'), ('read', 'VERB'), ('set', 'VERB'), ('export', 'NOUN'), ('delete', 'ADJ'), ('keys', 'NOUN'), ('and', 'CCONJ'), ('values', 'NOUN')]"
regedit,import or export registry settings,linux,,"[('import', 'NOUN'), ('or', 'CCONJ'), ('export', 'NOUN'), ('registry', 'NOUN'), ('settings', 'NOUN')]"
regsvr32,register or unregister a dll,linux,,"[('register', 'VERB'), ('or', 'CCONJ'), ('unregister', 'VERB'), ('a', 'DET'), ('dll', 'NOUN')]"
regini,change registry permissions,linux,,"[('change', 'VERB'), ('registry', 'NOUN'), ('permissions', 'NOUN')]"
rem,record comments remarks in a batch file ,linux,,"[('record', 'NOUN'), ('comments', 'NOUN'), ('remarks', 'NOUN'), ('in', 'ADP'), ('a', 'DET'), ('batch', 'NOUN'), ('file', 'NOUN')]"
ren,rename a file or files ,linux,,"[('rename', 'ADJ'), ('a', 'DET'), ('file', 'NOUN'), ('or', 'CCONJ'), ('files', 'NOUN')]"
replace,replace or update one file with another,linux,,"[('replace', 'VERB'), ('or', 'CCONJ'), ('update', 'VERB'), ('one', 'NUM'), ('file', 'NOUN'), ('with', 'ADP'), ('another', 'PRON')]"
reset session,delete a remote desktop session,linux,,"[('delete', 'VERB'), ('a', 'DET'), ('remote', 'ADJ'), ('desktop', 'NOUN'), ('session', 'NOUN')]"
rmdir,delete a directory ,linux,,"[('delete', 'VERB'), ('a', 'DET'), ('directory', 'NOUN')]"
rmtshare,share a folder or a printer,linux,,"[('share', 'VERB'), ('a', 'DET'), ('folder', 'NOUN'), ('or', 'CCONJ'), ('a', 'DET'), ('printer', 'NOUN')]"
robocopy,robust file and folder copy,linux,,"[('robust', 'ADJ'), ('file', 'NOUN'), ('and', 'CCONJ'), ('folder', 'NOUN'), ('copy', 'NOUN')]"
route,manipulate network routing tables,linux,,"[('manipulate', 'NOUN'), ('network', 'NOUN'), ('routing', 'VERB'), ('tables', 'NOUN')]"
run,start  run commands,linux,,"[('start', 'VERB'), (' ', 'SPACE'), ('run', 'VERB'), ('commands', 'NOUN')]"
runas,execute a program under a different user account,linux,,"[('execute', 'VERB'), ('a', 'DET'), ('program', 'NOUN'), ('under', 'ADP'), ('a', 'DET'), ('different', 'ADJ'), ('user', 'NOUN'), ('account', 'NOUN')]"
rundll32,run a dll command addremove print connections,linux,,"[('run', 'VERB'), ('a', 'DET'), ('dll', 'NOUN'), ('command', 'NOUN'), ('addremove', 'NOUN'), ('print', 'NOUN'), ('connections', 'NOUN')]"
sc,service control,linux,,"[('service', 'NOUN'), ('control', 'NOUN')]"
schtasks,schedule a command to run at a specific time,linux,,"[('schedule', 'VERB'), ('a', 'DET'), ('command', 'NOUN'), ('to', 'PART'), ('run', 'VERB'), ('at', 'ADP'), ('a', 'DET'), ('specific', 'ADJ'), ('time', 'NOUN')]"
scriptrunner,run one or more scripts in sequence,linux,,"[('run', 'VERB'), ('one', 'NUM'), ('or', 'CCONJ'), ('more', 'ADJ'), ('scripts', 'NOUN'), ('in', 'ADP'), ('sequence', 'NOUN')]"
set,display set or remove session environment variables ,linux,,"[('display', 'NOUN'), ('set', 'VERB'), ('or', 'CCONJ'), ('remove', 'VERB'), ('session', 'NOUN'), ('environment', 'NOUN'), ('variables', 'NOUN')]"
setlocal,control the visibility of environment variables ,linux,,"[('control', 'VERB'), ('the', 'DET'), ('visibility', 'NOUN'), ('of', 'ADP'), ('environment', 'NOUN'), ('variables', 'NOUN')]"
setobjectsecurity,set security for an object file directory reg key etc,linux,,"[('set', 'VERB'), ('security', 'NOUN'), ('for', 'ADP'), ('an', 'DET'), ('object', 'NOUN'), ('file', 'NOUN'), ('directory', 'NOUN'), ('reg', 'NOUN'), ('key', 'NOUN'), ('etc', 'NOUN')]"
setspn,edit service principal names,linux,,"[('edit', 'PROPN'), ('service', 'NOUN'), ('principal', 'NOUN'), ('names', 'NOUN')]"
setx,set environment variables,linux,,"[('set', 'VERB'), ('environment', 'NOUN'), ('variables', 'NOUN')]"
sfc,system file checker,linux,,"[('system', 'NOUN'), ('file', 'NOUN'), ('checker', 'NOUN')]"
share,list or edit a file share or print share,linux,,"[('list', 'NOUN'), ('or', 'CCONJ'), ('edit', 'VERB'), ('a', 'DET'), ('file', 'NOUN'), ('share', 'NOUN'), ('or', 'CCONJ'), ('print', 'NOUN'), ('share', 'NOUN')]"
shellrunas,run a command under a different user account,linux,,"[('run', 'VERB'), ('a', 'DET'), ('command', 'NOUN'), ('under', 'ADP'), ('a', 'DET'), ('different', 'ADJ'), ('user', 'NOUN'), ('account', 'NOUN')]"
shift,shift the position of batch file parameters ,linux,,"[('shift', 'VERB'), ('the', 'DET'), ('position', 'NOUN'), ('of', 'ADP'), ('batch', 'NOUN'), ('file', 'NOUN'), ('parameters', 'NOUN')]"
shortcut,create a windows shortcut lnk file,linux,,"[('create', 'VERB'), ('a', 'DET'), ('windows', 'NOUN'), ('shortcut', 'VERB'), ('lnk', 'ADJ'), ('file', 'NOUN')]"
shutdown,shutdown the computer,linux,,"[('shutdown', 'VERB'), ('the', 'DET'), ('computer', 'NOUN')]"
sigcheck,display file version no virustotal status  timestamp,linux,,"[('display', 'NOUN'), ('file', 'NOUN'), ('version', 'NOUN'), ('no', 'DET'), ('virustotal', 'ADJ'), ('status', 'NOUN'), (' ', 'SPACE'), ('timestamp', 'NOUN')]"
sleep,wait for x seconds,linux,,"[('wait', 'VERB'), ('for', 'ADP'), ('x', 'PUNCT'), ('seconds', 'NOUN')]"
slmgr,software licensing management,linux,,"[('software', 'NOUN'), ('licensing', 'NOUN'), ('management', 'NOUN')]"
sort,sort input,linux,,"[('sort', 'ADV'), ('input', 'VERB')]"
ssh,openssh remote login client,linux,,"[('openssh', 'PROPN'), ('remote', 'ADJ'), ('login', 'NOUN'), ('client', 'NOUN')]"
start,start a program command or batch file ,linux,,"[('start', 'VERB'), ('a', 'DET'), ('program', 'NOUN'), ('command', 'NOUN'), ('or', 'CCONJ'), ('batch', 'VERB'), ('file', 'NOUN')]"
strings,search for ansi and unicode strings in binary files,linux,,"[('search', 'VERB'), ('for', 'ADP'), ('ansi', 'PROPN'), ('and', 'CCONJ'), ('unicode', 'ADJ'), ('strings', 'NOUN'), ('in', 'ADP'), ('binary', 'ADJ'), ('files', 'NOUN')]"
subinacl,edit file and folder permissions ownership and domain,linux,,"[('edit', 'NOUN'), ('file', 'NOUN'), ('and', 'CCONJ'), ('folder', 'NOUN'), ('permissions', 'NOUN'), ('ownership', 'NOUN'), ('and', 'CCONJ'), ('domain', 'NOUN')]"
subst,associate a path with a drive letter,linux,,"[('associate', 'VERB'), ('a', 'DET'), ('path', 'NOUN'), ('with', 'ADP'), ('a', 'DET'), ('drive', 'NOUN'), ('letter', 'NOUN')]"
sxstrace,diagnose sidebyside problems,linux,,"[('diagnose', 'ADJ'), ('sidebyside', 'NOUN'), ('problems', 'NOUN')]"
sysmon,monitor and log system activity to the windows event log,linux,,"[('monitor', 'VERB'), ('and', 'CCONJ'), ('log', 'NOUN'), ('system', 'NOUN'), ('activity', 'NOUN'), ('to', 'ADP'), ('the', 'DET'), ('windows', 'NOUN'), ('event', 'NOUN'), ('log', 'NOUN')]"
systeminfo,list system configuration,linux,,"[('list', 'NOUN'), ('system', 'NOUN'), ('configuration', 'NOUN')]"
takeown,take ownership of a file,linux,,"[('take', 'VERB'), ('ownership', 'NOUN'), ('of', 'ADP'), ('a', 'DET'), ('file', 'NOUN')]"
tar,store list or extract files in an archive,linux,,"[('store', 'NOUN'), ('list', 'NOUN'), ('or', 'CCONJ'), ('extract', 'VERB'), ('files', 'NOUN'), ('in', 'ADP'), ('an', 'DET'), ('archive', 'NOUN')]"
tasklist,list running applications and services,linux,,"[('list', 'NOUN'), ('running', 'NOUN'), ('applications', 'NOUN'), ('and', 'CCONJ'), ('services', 'NOUN')]"
taskkill,end a running process,linux,,"[('end', 'VERB'), ('a', 'DET'), ('running', 'NOUN'), ('process', 'NOUN')]"
